Driver,Nationality,Race_Entries,Decade
Carlo Abate,Italy,3,1960
George Abecassis,United Kingdom,2,1950
Kenny Acheson,United Kingdom,10,1980
Andrea de Adamich,Italy,36,1970
Philippe Adams,Belgium,2,1990
Walt Ader,United States,1,1950
Kurt Adolff,West Germany,1,1950
Fred Agabashian,United States,9,1950
Kurt Ahrens Jr.,West Germany,4,1970
Jack Aitken,United Kingdom,1,2020
Christijan Albers,Netherlands,46,2010
Alexander Albon,Thailand,61,2020
Michele Alboreto,Italy,215,1990
Jean Alesi,France,202,2000
Jaime Alguersuari,Spain,46,2010
Philippe Alliot,France,116,1990
Cliff Allison,United Kingdom,18,1960
Fernando Alonso,Spain,359,2010
Giovanna Amati,Italy,3,1990
George Amick,United States,2,1960
Red Amick,United States,2,1960
Chris Amon,New Zealand,108,1970
Bob Anderson,United Kingdom,29,1960
Conny Andersson,Sweden,5,1980
Emil Andres,United States,1,1950
Mario Andretti,United States,131,1980
Michael Andretti,United States,13,1990
Keith Andrews,United States,3,1960
Elio de Angelis,Italy,109,1980
Marco Apicella,Italy,1,1990
Mário de Araújo Cabral,Portugal,5,1960
Frank Armi,United States,3,1950
Chuck Arnold,United States,2,1960
René Arnoux,France,164,1980
Peter Arundell,United Kingdom,13,1960
Alberto Ascari,Italy,33,1950
Peter Ashdown,United Kingdom,1,1960
Ian Ashley,United Kingdom,11,1980
Gerry Ashmore,United Kingdom,4,1960
Bill Aston,United Kingdom,3,1950
Richard Attwood,United Kingdom,17,1970
Manny Ayulo,United States,6,1950
Luca Badoer,Italy,58,2000
Giancarlo Baghetti,Italy,21,1960
Julian Bailey,United Kingdom,20,1990
Mauro Baldi,Italy,41,1980
Bobby Ball,United States,2,1950
Marcel Balsa,France,1,1950
Lorenzo Bandini,Italy,42,1960
Henry Banks,United States,5,1950
Fabrizio Barbazza,Italy,20,1990
John Barber,United Kingdom,1,1950
Skip Barber,United States,6,1970
Paolo Barilla,Italy,15,1990
Rubens Barrichello,Brazil,326,2000
Michael Bartels,Germany,4,1990
Edgar Barth,"East Germany, West Germany",7,1960
Giorgio Bassi,Italy,1,1960
Erwin Bauer,West Germany,1,1950
Zsolt Baumgartner,Hungary,20,2000
Élie Bayol,France,8,1950
Don Beauman,United Kingdom,1,1950
Karl-Günther Bechem[g],West Germany,2,1950
Jean Behra,France,53,1960
Derek Bell,United Kingdom,16,1970
Stefan Bellof,West Germany,22,1980
Paul Belmondo,France,27,1990
Tom Belsø,Denmark,5,1970
Jean-Pierre Beltoise,France,88,1970
Olivier Beretta,Monaco,10,1990
Allen Berg,Canada,9,1990
Georges Berger,Belgium,2,1950
Gerhard Berger,Austria,210,1990
Éric Bernard,France,47,1990
Enrique Bernoldi,Brazil,29,2000
Enrico Bertaggia,Italy,6,1990
Tony Bettenhausen,United States,11,1960
Mike Beuttler,United Kingdom,29,1970
Birabongse Bhanudej,Thailand,19,1950
Jules Bianchi,France,34,2010
Lucien Bianchi,Belgium,19,1960
Gino Bianco,Brazil,4,1950
Hans Binder,Austria,15,1980
Clemente Biondetti,Italy,1,1950
Pablo Birger,Argentina,2,1950
Art Bisch,United States,1,1960
Harry Blanchard,United States,1,1960
Michael Bleekemolen,Netherlands,5,1980
Alex Blignaut,South Africa,1,1960
Trevor Blokdyk,South Africa,2,1960
Mark Blundell,United Kingdom,63,1990
Raul Boesel,Brazil,30,1980
Menato Boffa,Italy,1,1960
Bob Bondurant,United States,9,1970
Felice Bonetto,Italy,16,1950
Jo Bonnier,Sweden,108,1960
Roberto Bonomi,Argentina,1,1960
Juan Manuel Bordeu,Argentina,1,1960
Slim Borgudd,Sweden,15,1980
Luki Botha,South Africa,1,1970
